participante;I1;I2;I3;I4;I5;I6;I7;I8;I9;I10;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;I32;I33;I34;I35;I36;I37;I38;I39;I40;I41;I42;I43;I44;I45;I46;I47;I48;I49;I50;I51;I52;I53;I54;I55;I56;I57;I58;I59;I60;I61;I62;I63;I64;I65;I66;I67;I68;I69;I70;I71;I72;I73;I74;I75;practica_1;practica_2;practica_3;final
P1;4;7;3;7;2;4;3;7;3;5;2;6;4;5;1;5;3;3;3;1;1;3;3;7;6;5;3;6;6;5;5;4;3;3;3;3;6;4;3;5;2;3;6;2;4;4;5;5;3;5;5;6;7;7;6;6;5;5;6;3;4;6;6;5;5;6;6;5;6;6;5;4;5;4;5;3.8;4.1;3.0;0
P2;1;7;7;5;5;2;7;7;5;1;2;4;1;1;2;3;1;1;2;1;4;6;5;6;7;7;5;1;3;4;7;3;4;4;2;6;7;4;4;4;1;5;5;3;4;7;5;4;5;7;7;7;4;7;6;6;6;7;4;6;7;7;7;2;6;7;7;7;6;7;7;2;6;6;6;4.1;5.0;3.8;2
P3;5;7;2;7;7;7;7;7;1;7;7;7;3;7;2;7;1;1;3;7;7;7;7;7;7;7;7;7;7;7;7;7;1;7;1;7;7;7;7;7;7;7;7;7;7;7;7;1;7;7;7;7;4;7;7;7;7;4;4;7;7;7;7;4;7;7;7;7;7;7;7;7;7;1;6;4.0;5.0;5.0;2
P4;1;4;6;6;4;5;6;2;5;1;3;5;6;1;1;3;1;5;5;6;4;5;6;3;2;4;4;5;4;6;4;5;7;3;7;4;5;4;3;5;5;2;6;2;4;4;5;6;6;4;2;6;7;7;6;6;6;5;7;2;3;5;5;7;6;6;6;5;4;5;5;7;5;5;4;4.0;4.0;4.6;2
P5;5;7;6;6;7;6;6;6;7;7;5;6;5;6;6;6;5;4;7;7;7;6;6;7;7;6;7;5;6;5;7;6;6;6;7;7;7;6;6;7;6;6;7;7;7;7;7;1;7;7;7;4;4;7;7;7;7;7;7;7;7;7;7;5;6;7;7;7;6;7;7;4;7;7;7;5.0;5.0;1.2;1
P6;1;6;3;7;6;6;6;5;5;1;4;4;3;4;3;6;1;2;6;6;4;3;4;4;6;6;5;2;4;6;5;4;5;6;5;4;5;5;6;6;6;4;5;5;6;6;6;1;7;7;7;4;3;6;7;4;7;6;2;7;7;7;6;2;6;6;7;6;6;6;7;4;7;2;7;0.5;4.3;3.0;1
P7;4;6;7;6;4;6;6;6;6;4;5;4;6;5;5;6;4;1;5;5;5;5;6;4;6;6;5;6;4;4;6;4;7;6;4;4;5;5;7;7;5;5;5;6;5;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;5;7;7;6;7;7;7;7;7;7;7;7;7;7;7;3.7;4.4;3.8;1
P8;3;6;5;6;5;5;6;6;5;4;4;5;4;4;3;5;2;2;4;5;5;5;5;5;6;6;5;5;5;5;6;5;5;5;4;5;6;5;5;6;5;5;6;5;5;6;6;4;6;6;6;6;5;7;7;6;6;6;5;6;6;7;6;4;6;7;7;6;6;6;6;5;6;5;6;1.8;4.0;5.0;2
P9;1;7;7;7;6;7;3;1;1;1;2;5;1;1;1;7;1;4;3;2;6;5;5;1;1;4;3;1;1;7;7;7;3;1;1;1;1;6;1;5;1;4;5;1;1;2;3;4;3;3;5;3;6;5;3;2;2;1;6;3;6;5;2;5;7;1;7;1;1;2;7;3;4;1;1;4.0;4.3;5.0;2
P10;2;6;6;7;5;6;6;5;2;3;5;4;2;2;5;6;2;2;4;5;5;5;6;3;4;6;5;3;6;6;6;5;3;4;5;5;3;5;6;5;6;3;5;6;5;5;4;5;5;4;4;6;4;5;6;6;4;5;6;4;6;6;6;2;5;7;6;6;6;6;5;2;6;5;6;4.2;5.0;5.0;2
P11;7;7;7;4;4;7;4;7;4;7;4;7;4;7;4;7;7;4;7;4;7;7;7;4;7;7;7;7;7;4;7;7;4;7;4;7;4;7;4;7;4;7;7;7;7;7;7;1;7;7;7;4;1;7;7;1;7;4;1;7;7;7;7;1;7;7;7;7;7;7;7;4;7;4;7;5.0;4.4;4.6;0
P12;1;7;4;7;7;7;7;4;3;1;4;7;1;5;7;7;3;1;6;4;7;7;3;7;7;7;7;4;7;7;7;7;3;7;4;7;7;7;4;7;4;7;6;6;7;7;7;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;4;7;7;7;4.4;3.8;3.4;1
P13;4;6;7;7;3;3;4;4;6;2;5;3;5;2;3;6;2;7;4;2;7;2;4;5;2;5;5;2;6;7;6;6;7;6;4;3;2;5;6;6;5;2;6;6;6;4;3;2;7;7;6;2;6;5;7;2;6;2;2;6;5;6;5;2;6;6;7;4;3;6;7;2;6;6;6;5.0;4.7;5.0;2
P14;1;7;1;7;4;7;6;6;7;7;5;7;1;7;4;7;1;1;7;6;7;6;4;7;7;7;7;1;7;7;7;7;1;7;7;7;7;7;6;7;7;7;7;7;7;6;7;1;7;5;5;7;6;7;7;4;7;5;7;5;7;7;7;6;7;7;7;7;7;7;7;5;5;3;6;4.5;5.0;3.8;1
P15;4;7;1;2;4;3;7;3;2;1;3;5;1;5;5;3;2;1;6;5;7;6;6;7;7;7;1;4;6;5;7;7;2;6;6;7;3;7;7;7;6;7;7;7;4;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;6;7;7;5;7;7;7;0.0;0.0;0.0;0
P16;1;7;7;5;7;5;6;7;4;5;5;7;5;5;7;6;6;2;7;5;6;4;6;7;6;6;4;1;7;5;7;6;4;5;7;6;6;7;7;7;6;6;7;7;6;7;7;1;7;7;7;5;2;7;7;6;7;6;2;7;7;7;7;1;7;7;7;7;6;7;7;1;7;4;7;5.0;2.5;5.0;1
P17;5;5;5;5;6;7;4;6;6;7;7;5;6;6;6;7;4;7;5;7;7;6;7;7;5;7;4;6;7;5;7;4;6;4;3;7;4;5;5;5;3;7;5;4;7;5;6;6;6;4;5;4;7;4;6;6;5;4;5;5;7;6;5;6;6;7;4;7;5;5;6;7;6;7;6;3.5;4.5;5.0;2
P18;2;6;6;2;6;7;5;4;7;3;6;7;3;7;7;7;5;2;5;5;6;6;6;1;5;7;7;6;6;5;7;5;6;6;6;6;7;6;6;6;5;4;5;5;6;7;7;5;6;6;6;5;5;6;5;7;7;6;5;7;5;7;6;7;6;7;4;6;5;7;4;6;4;5;5;4.0;5.0;5.0;2
P19;1;6;5;4;7;5;5;5;4;2;3;6;5;3;2;5;4;4;5;2;6;6;6;3;6;6;6;2;5;6;6;5;5;5;2;4;5;5;6;6;3;6;6;4;5;5;4;6;5;5;4;3;7;4;5;5;5;5;6;5;6;5;4;7;5;5;5;4;4;5;5;7;5;5;4;3.0;3.9;2.5;1
P20;4;7;4;7;5;7;6;7;7;5;6;6;1;5;5;7;5;2;5;5;5;3;5;6;6;6;2;3;5;6;6;5;5;5;5;6;6;7;6;5;5;6;5;5;5;3;7;4;7;6;7;7;4;7;7;6;7;4;4;6;5;7;7;4;5;5;7;5;6;6;6;2;6;4;5;0.0;0.0;0.0;0
P21;5;5;7;5;5;6;7;5;3;2;5;6;2;5;6;5;5;2;5;4;5;4;5;6;5;6;4;4;6;5;6;6;6;4;5;6;5;6;6;5;5;5;6;4;4;5;5;4;6;5;4;5;6;5;6;4;5;5;5;7;6;5;5;4;6;7;6;7;6;7;7;7;1;7;7;4.4;0.0;0.0;0
P22;4;6;2;5;4;5;6;5;6;3;3;7;1;3;3;6;5;1;6;3;6;5;5;4;6;5;3;2;6;5;6;6;1;5;3;6;2;5;2;5;4;2;4;3;4;2;5;6;6;4;2;5;2;6;5;4;5;3;6;4;5;4;1;6;6;5;6;4;6;4;5;6;7;1;5;0.0;0.0;0.0;0
P23;3;3;3;5;4;5;5;4;3;2;3;5;2;3;5;5;2;1;3;3;5;5;5;2;2;4;4;2;3;4;3;4;1;3;3;4;3;3;5;5;3;7;4;4;5;4;5;3;7;6;6;5;5;7;6;7;7;7;6;5;7;5;7;3;6;7;7;6;6;4;6;3;7;7;6;1.8;3.5;0.0;0
P24;4;3;3;4;4;5;4;3;5;4;3;6;4;5;5;7;3;5;4;5;4;4;4;3;4;7;4;3;6;5;4;4;3;4;5;5;4;7;4;4;4;5;4;5;7;4;5;7;7;5;5;7;7;5;7;7;5;7;6;7;7;5;5;7;6;7;5;5;4;5;5;7;5;7;7;0.0;0.0;0.0;0
P25;1;5;6;7;5;2;2;1;3;3;1;1;5;4;1;2;2;3;5;3;3;4;2;5;3;4;3;1;2;7;4;4;5;4;2;5;2;2;6;6;3;5;4;4;6;4;6;7;7;1;1;5;7;7;7;7;1;7;7;1;5;7;7;1;7;7;7;5;7;6;7;7;1;1;1;3.8;4.3;5.0;2
P26;5;6;6;6;5;6;6;6;6;3;6;5;2;4;5;6;6;1;7;6;5;6;6;3;4;6;4;3;3;6;6;6;7;5;6;6;5;6;7;6;6;6;6;5;6;5;6;6;5;6;4;7;5;6;6;5;5;5;6;6;5;5;5;6;6;6;6;6;6;5;5;6;6;6;6;3.3;4.4;0.9;1
P27;6;4;6;4;2;3;4;3;4;2;2;5;5;2;3;3;1;4;3;1;4;6;6;3;6;4;3;2;3;2;4;4;4;5;5;5;5;3;4;4;5;5;4;5;5;4;4;4;4;4;5;4;5;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;5;0.0;0.0;0.0;0
P28;5;5;2;6;6;5;6;6;2;4;5;5;1;4;4;6;4;1;5;5;6;5;4;2;5;5;4;4;5;3;5;4;3;4;4;5;5;5;5;5;4;5;5;5;4;6;5;3;4;3;4;5;4;5;5;6;6;4;4;5;5;5;6;6;5;5;5;4;5;5;5;6;6;6;5;1.6;2.2;3.4;1
P29;3;7;4;6;7;6;5;5;6;3;6;5;2;3;6;5;3;3;5;4;4;5;5;6;4;6;5;3;5;6;4;5;2;5;5;6;3;5;2;5;5;4;5;6;5;5;6;2;6;6;6;5;6;7;7;6;6;5;6;6;6;6;6;5;7;7;7;6;6;6;6;5;6;5;6;5.0;3.7;5.0;1
P30;4;7;5;6;7;7;6;7;3;5;5;1;1;7;6;7;4;1;7;5;6;7;5;6;7;7;1;2;7;7;7;5;4;7;7;6;3;7;7;6;7;7;6;7;7;7;7;1;7;7;7;5;7;6;7;7;7;7;5;7;6;7;7;1;7;7;7;7;7;7;7;1;7;7;7;5.0;5.0;5.0;2
P31;7;7;1;7;7;7;7;7;1;6;6;7;1;7;5;7;5;1;5;5;7;7;7;3;7;6;5;7;5;7;5;5;1;5;6;5;1;6;1;7;4;6;7;2;5;7;6;7;5;5;7;7;7;7;7;7;7;5;7;3;7;7;7;6;5;6;7;7;7;7;7;6;7;6;6;1.9;1.6;1.3;1
P32;3;6;3;5;6;6;6;5;6;3;6;3;2;5;6;6;2;4;6;5;5;5;5;6;2;7;5;2;5;5;4;6;6;5;4;5;5;6;4;6;5;6;7;7;6;6;5;4;7;4;6;6;5;6;5;6;5;5;4;5;4;5;6;6;6;6;5;7;5;7;6;6;6;6;6;5.0;5.0;2.5;1
P33;4;4;4;4;4;4;4;6;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3.8;3.8;3.4;1
P34;2;6;7;7;7;7;7;6;7;3;5;7;2;4;5;7;4;5;7;5;6;6;7;3;5;7;7;2;6;7;6;6;1;5;5;5;4;6;2;5;7;7;6;6;3;5;7;1;5;6;7;7;4;7;7;5;7;5;5;7;5;5;7;5;7;7;6;6;7;6;6;5;7;5;6;0.0;0.0;0.0;0
P35;1;6;3;4;5;7;6;4;7;4;5;4;1;4;2;7;4;2;5;5;6;5;5;7;6;7;6;5;5;4;5;5;4;5;5;4;4;7;4;6;5;5;6;5;5;6;7;5;7;7;7;5;6;7;7;1;7;2;6;7;6;6;7;4;7;7;7;6;7;6;7;5;7;4;7;5.0;3.2;4.6;1
P36;3;5;7;6;5;5;7;5;6;5;5;7;4;4;5;6;5;4;6;5;5;6;6;5;5;6;6;6;6;6;6;6;5;5;5;5;5;6;7;7;5;5;7;5;6;5;7;5;7;7;6;7;7;6;7;7;6;5;7;5;6;7;7;7;7;7;7;5;4;7;7;6;6;1;6;3.3;3.2;5.0;1
P37;1;5;7;5;7;7;6;5;7;2;4;2;2;3;5;7;5;6;5;7;5;5;5;1;7;7;7;3;1;4;7;4;6;2;7;4;2;7;7;7;7;5;5;3;5;7;7;7;7;7;5;7;6;7;7;7;7;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;4.2;4.7;4.5;2
P38;1;7;2;7;5;7;6;7;4;1;5;6;1;2;2;7;1;1;4;3;2;2;6;5;6;6;2;1;2;7;5;2;2;2;7;5;5;7;7;7;4;1;6;7;3;3;5;3;6;7;7;7;7;6;7;5;7;7;7;7;2;7;7;6;7;7;7;4;5;7;7;6;7;7;7;4.8;4.3;5.0;2
P39;2;7;2;6;5;5;5;6;5;3;4;6;2;3;3;6;4;1;4;3;5;5;6;5;6;6;5;2;5;6;6;5;2;6;4;4;4;5;5;5;5;4;6;5;5;6;6;1;6;6;5;6;4;6;6;6;6;7;6;6;5;6;6;3;7;7;7;5;6;6;5;2;6;4;6;5.0;5.0;3.4;1
P40;5;6;7;6;4;7;6;6;7;3;4;3;2;5;5;7;5;3;5;5;5;4;3;1;6;6;4;2;5;3;4;4;5;5;5;3;6;6;6;4;4;4;6;2;5;4;4;7;6;1;1;7;7;4;6;7;1;2;7;1;6;5;5;4;4;4;6;3;3;4;7;7;1;6;1;4.2;4.3;4.3;1
P41;1;6;6;4;5;5;6;5;6;5;6;4;5;5;5;4;6;6;4;3;3;4;5;3;5;5;4;5;3;7;5;6;5;4;4;5;5;4;6;6;5;6;4;3;5;4;6;5;5;4;6;4;7;6;3;5;3;5;4;4;4;3;5;3;6;3;5;3;5;3;6;4;7;7;5;0.0;0.0;0.0;0
P42;3;6;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;6;6;5;4;5;6;6;5;7;5;4;7;6;5;5;5;6;7;7;4;4;3;6;6;6;7;5;6;5;5;6;5;7;4;5;6;6;5;6;6;6;5;4;5;7;7;6;3;4;4;5;5;5;6;4;5;6;6;4.5;0.0;0.0;0
P43;1;6;7;7;6;7;5;3;5;1;5;7;2;4;4;7;2;1;7;7;5;7;5;4;2;7;7;1;7;1;7;6;1;3;6;6;1;7;1;7;5;5;7;7;6;7;5;5;5;6;6;4;7;7;6;6;5;5;6;6;6;6;7;5;6;7;5;5;7;6;6;5;7;4;6;3.3;4.4;0.0;2
P44;4;5;7;7;6;6;5;6;5;5;4;5;6;7;5;7;6;5;4;5;5;4;5;5;5;4;6;4;5;4;5;4;5;4;5;4;5;6;5;5;5;6;6;3;6;5;6;5;5;5;4;5;5;6;6;5;6;7;5;6;6;5;4;6;5;6;6;6;7;6;6;6;6;7;7;3.3;4.4;5.0;1
P45;7;7;6;6;5;6;7;6;5;6;5;5;3;6;5;6;5;4;5;5;7;5;5;5;6;6;5;5;5;5;6;5;5;6;6;3;6;5;6;5;5;5;5;6;5;6;6;6;7;5;5;7;5;6;6;7;6;6;7;4;5;7;6;5;7;7;7;6;6;7;6;4;5;6;6;4.7;4.4;3.0;2
P46;7;7;7;6;4;7;7;7;7;1;6;7;7;6;4;7;1;1;4;5;7;7;5;2;5;7;4;1;6;4;6;7;7;7;4;6;4;7;7;7;6;1;6;5;7;5;7;7;7;1;3;7;2;7;7;4;5;6;7;4;4;6;7;7;7;7;7;7;7;7;7;7;4;7;5;4.2;3.9;4.3;1
P47;1;7;3;7;1;6;5;7;4;4;2;4;2;6;6;4;4;2;6;4;3;4;4;2;6;6;6;3;5;6;5;6;2;3;2;6;6;6;2;2;3;3;5;2;3;6;7;7;7;4;7;7;2;7;7;7;7;2;7;7;7;7;7;5;7;7;7;7;7;7;7;4;7;2;4;0.5;3.5;4.5;1
P48;6;7;7;6;7;6;4;6;2;3;4;5;4;5;4;7;1;5;3;5;1;5;6;3;6;7;5;1;1;6;6;2;6;7;6;4;6;7;7;6;5;6;7;5;6;5;7;2;6;5;5;6;4;7;7;7;7;6;7;5;4;5;7;5;6;6;7;5;7;6;7;5;7;6;6;4.7;5.0;3.0;1
P49;7;7;3;7;7;7;7;7;6;7;5;7;3;5;7;6;7;3;7;5;5;7;7;7;7;7;7;7;6;7;7;7;3;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;7;7;7;7;7;7;7;5.0;4.4;4.6;1
P50;5;7;5;7;7;7;1;6;7;5;4;7;3;6;1;7;1;1;5;5;6;6;1;7;7;7;7;4;7;7;2;4;6;6;7;2;7;7;4;7;7;7;7;7;5;7;7;1;7;7;7;6;5;7;7;4;7;5;4;7;7;7;7;4;7;7;7;5;7;7;7;1;7;1;7;5.0;5.0;5.0;2
P51;6;7;6;7;7;7;7;7;7;4;6;4;6;3;7;7;5;1;7;4;7;2;5;7;6;7;6;4;6;6;6;7;7;7;6;7;5;7;7;7;7;7;7;7;7;7;7;4;7;7;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;2.8;0.0;0.0;0
P52;2;6;4;3;6;5;4;3;2;1;3;6;2;3;4;6;3;2;4;3;6;5;4;6;5;6;6;2;4;4;5;3;2;3;3;5;2;6;4;6;2;4;6;3;4;6;4;3;7;6;5;6;6;7;6;5;6;5;6;7;6;6;6;3;6;6;7;5;7;6;7;5;6;6;6;5.0;4.9;5.0;2
P53;7;7;3;6;7;7;7;7;7;4;5;7;2;7;5;7;4;4;7;3;6;5;5;4;6;7;6;3;6;6;6;7;7;7;5;6;5;7;5;7;5;6;7;5;6;4;6;2;7;7;6;7;7;7;7;6;7;7;6;6;6;7;7;6;7;7;7;7;7;4;7;4;7;7;7;3.8;3.1;2.7;2
P54;6;7;7;7;7;7;6;5;7;7;7;5;4;6;7;7;1;5;6;5;5;7;7;7;7;7;6;4;6;7;7;6;7;7;6;6;6;7;7;6;7;7;7;6;6;7;7;4;7;7;7;7;1;7;7;7;7;7;7;7;7;7;7;1;7;7;7;7;7;7;7;1;7;7;7;5.0;3.7;5.0;2
P55;2;4;4;4;3;4;3;3;4;3;4;4;4;3;3;4;3;4;3;3;3;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3;6;3;2;2;4;2;3;3;3;2;3;6;2;2;3;4;6;5;4;2;3;3;3;3;6;3;4;4;3.3;4.4;3.3;1
P56;7;6;7;6;5;6;7;6;7;7;6;6;6;7;6;7;6;6;5;5;5;6;7;7;4;6;6;6;5;6;7;6;7;5;6;5;4;6;6;7;6;5;7;6;7;6;7;6;7;7;6;7;3;7;7;4;7;7;6;6;7;7;7;7;6;7;7;7;6;7;7;5;7;5;5;3.2;5.0;0.0;1
P57;4;6;5;6;6;3;5;5;7;4;4;3;2;2;4;6;3;3;5;4;7;5;3;3;6;5;4;3;2;6;4;4;5;4;3;4;6;5;5;5;5;5;4;5;6;6;5;6;5;4;3;3;3;4;4;4;4;4;6;6;5;4;4;2;5;4;3;4;4;3;4;4;5;5;6;3.7;4.3;5.0;2
P58;7;6;7;7;4;7;7;5;3;7;7;6;1;6;7;7;4;1;7;5;4;5;7;5;7;7;3;2;4;2;7;7;2;7;7;7;4;7;7;7;7;7;1;7;7;1;7;1;7;7;7;4;7;7;7;5;7;7;6;7;3;7;7;1;7;7;7;4;7;7;7;1;7;1;7;5.0;5.0;5.0;2
P59;5;6;6;7;7;5;6;5;3;1;4;5;4;5;5;5;5;4;3;3;4;6;5;5;7;5;6;3;2;5;6;3;6;2;5;5;4;5;6;7;4;6;7;5;5;5;6;5;6;5;3;4;5;6;7;4;5;3;6;2;4;5;6;5;5;5;7;3;5;6;7;4;5;6;4;1.7;4.2;5.0;0
P60;4;4;3;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1.6;1.1;0.5;0
P61;4;5;5;6;4;4;4;3;2;3;3;5;2;4;5;4;3;2;5;4;4;5;4;6;5;5;6;4;5;5;5;5;5;4;2;4;3;4;5;5;4;4;5;3;5;6;6;4;5;5;7;7;4;6;6;7;7;6;6;7;6;6;6;4;6;6;6;4;6;6;6;6;6;6;6;3.6;2.2;1.3;0
P62;1;7;6;7;6;6;4;5;6;2;5;5;5;2;3;5;4;4;4;2;4;6;6;5;5;6;5;6;4;7;6;5;5;4;5;5;5;5;6;6;5;4;4;5;5;5;5;3;6;5;5;5;4;7;6;6;4;3;4;5;5;5;4;6;6;4;7;6;5;3;1;5;6;2;5;4.3;5.0;0.0;1
P63;1;6;4;3;6;6;4;5;2;1;4;3;1;3;2;6;2;2;3;4;2;6;4;2;7;6;2;2;2;3;4;2;4;2;4;3;7;6;5;4;4;6;6;4;5;3;6;6;7;4;5;7;3;7;7;6;6;4;6;4;5;7;6;3;6;6;7;5;6;6;6;4;5;5;4;4.1;2.5;3.0;0
P64;1;6;5;4;1;4;6;3;2;1;4;1;5;2;6;6;3;5;4;4;2;3;5;7;4;6;3;1;4;3;3;3;3;4;3;4;3;4;3;4;3;4;3;3;5;4;7;1;6;6;3;4;4;4;4;3;5;3;5;3;4;3;4;4;5;4;4;5;4;5;7;3;6;6;6;0.0;0.0;0.0;0
P65;7;6;6;7;3;6;6;4;5;7;7;6;1;1;5;7;7;1;7;7;7;4;1;4;6;7;7;1;1;7;7;4;3;1;7;7;3;7;3;7;7;7;4;7;5;7;4;1;7;7;7;3;1;5;6;4;7;2;3;7;7;6;6;1;7;7;7;6;5;6;7;4;7;1;7;5.0;5.0;4.2;2
P66;5;6;7;7;7;7;5;7;3;2;7;7;5;5;5;7;4;3;7;6;6;4;5;3;7;7;5;4;4;7;7;7;5;5;7;6;6;7;5;6;7;7;6;7;6;6;7;1;7;7;7;7;5;7;7;7;7;7;7;7;7;7;7;6;7;7;7;4;7;7;7;5;7;7;7;4.1;1.9;5.0;1
P67;1;4;4;4;3;2;4;3;4;1;1;4;2;1;4;1;4;2;7;3;4;3;5;5;4;3;4;3;5;4;6;4;5;6;2;4;4;3;6;4;1;3;4;1;4;3;7;5;3;3;4;2;4;7;4;4;4;2;2;4;7;4;7;4;4;4;5;4;7;4;4;2;5;4;3;3.3;0.0;1.7;0
